Entradas; 2.786.847,51 ;Empenhado;;;;;;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;;Responsável;;Item;;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;;Empresa;;Qtd. A;V. unitário;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
148/2020;NUAL;30/06/2020;00060-00281516/2020-83;Oberdan;457/2020;1;201158;4;X;X;SAPATILHA DESCARTÁVEL. Material: polipropileno antiderrapante, Características Adicionais: gramatura mínima de 40g/m², resistente, com acabamento elástico que permita bom ajuste e cobertura completa do calçado até o tornozelo. Tamanho com aproximadamente 35 cm de comprimento por 20 cm de altura. Embalagem com 50 pares (100 unidades). Unidade de estoque: par (PAR). Unidade de fornecimento: par.;PR;20000;CONECTTA (703936);17.390.500/0001-80;10000;0,2800000; R$2.800,00 ;03/07/2020;6;03/08/2020;03/08/2020;03/08/2020;91189;30/09/2020;5;valor corrigido quantidade tava errado;;;;;SONDA DE FOLEY 2 VIAS LÁTEX Nº 14
031/2020;NECFM;04/06/2020;00060-00228701/2020-40;Oberdan;349/2020;1;TER03;1;;;CONSERTO DE Termodesinfectora, Marca BAUMER, Nº Patrimônio 741165.;Serviço;1;DESCARTEK (703689);24.714.410/0001-62;1;5000,0000000; R$5.000,00 ;16/09/2020;11;25/06/2020;26/06/2020;26/06/2020;46978;21/07/2020;4;;;;;;RETINOL (ACETATO) + AMINOACIDOS + DL-METIONINA + CLORANFENICOL POMADA OFTALMICA (10000 UI + 25 MG + 5 MG + 5 MG)/G BISNAGA 3
123/2019;NUAL;13/11/2019;00060-00461977/2019-02;Clayton;.386/2019;1;7647;1;X;X;NAVALHA PARA MICRÓTOMO DE PERFIL BAIXO. Aplicação: corte de parafina, Material: aço inoxidável, Dimensões: 74MM de comprimento X 14MM de largura, Caracteristicas adicionais: uso laboratorial e descartável, perfil baixo. ***O preço cotado deve ser para caixa com 50 navalhas.***;CX;20;CIA SUPRIMENTOS (703699);34.384.756/0001-01;15;438,0000000; R$6.570,00 ;22/11/2019;20;04/12/2019;04/12/2019;05/12/2019;3268;24/01/2020;A/A;;;;;;SACO PLÁSTICO
116/2020;NFH;15/04/2020;00060-00155727/2020-61;Robson;168/2020;1;92440;1;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 22. Aplicação: drenagem e controle da diurese. Material: Látex atóxico. Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40cm, com flexibilidade adequada ao fim a que se destina, que não cause irritação ao paciente, espessura uniforme, isenta de manchas ou quaisquer defeitos. Balão com capacidade de 30 ml, com válvula fixa que permita perfeita adaptação em seringas, e boa distensibilidade. Ponta distal arredondada e fechada, apresentando 2 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro da sonda, isentos de rebarbas e ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotado nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixas com 10 unidades. Unidade de Estoque: unidade. Código SES: 092440.  ;UN;50;GA HOSPITALAR (703786);37.014.586/0001-53;30;5,5000000; R$165,00 ;24/04/2020;23;27/04/2020;28/04/2020;30/04/2020;17912;04/06/2020;3;assinar;;;;;LACTULOSE XAROPE 667 MG/ML FRASCO 120 ML
020/2020;NECFM;13/05/2020;00060-00196610/2020-38;Oberdan;239/2020;1;CAM68;1;X;X;CONSERTO DE CAMA HOSPITALAR MOTORIZADA, Marca STRYKER, Nº Patrimônio 922101;Serviço;1;MEDIC VITALL (703910);34.782.400/0001-18;1;1560,0000000; R$1.560,00 ;10/06/2020;30;23/06/2020;26/06/2020;26/06/2020;63464;18/08/2020;4;AGENCIA E CONTA TAVA TROCADA 27/07;;;;;LUVA NITRÍLICA M
007/2020;NUAL;24/01/2020;00060-00030137/2020-27;Robson;025/2020;1;20879;5;X;X;ETIQUETA AUTO-ADESIVApara LABORATÓRIO, Material: celulose vegetal em adesivo sintético, Tamanho Etiqueta: 50 x 27 mm, Aplicação: uso em impressora térmica Zebra TLP 2844-Z, Número Colunas: 02, Cor: branca, Características Adicionais: cantos arredondados, sem impressão, para uso em sistema informatizado de laboratório, Unidade De Fornecimento: em rolos contendo 03 milheiros.;MH;200;CIA SUPRIMENTOS (703699);34.384.756/0001-01;200;5,1000000; R$1.020,00 ;03/02/2020;32;04/02/2020;05/02/2020;07/02/2020;3275;05/03/2020;2;;;;;;ETIQUETA AUTO- ADESIVA
034/2020;NFH;30/01/2020;00060-00037210/2020-91;Clayton;036/2020;1;36520;3;X;X;Teste rápido para determinação qualitativa da concentração de Troponina I, por método imunocromatográfico, em amostras de sangue total, soro ou plasma humano. Com detecção de, no mínimo, 0.5ng/mL de concentração.Sensibilidade igual ou superior a 95%. Aplicação (finalidade): Auxílio no diagnóstico de Infarto Agudo do Miocárdio. Características adicionais: A embalagem do produto deverá conter o número do lote, data de fabricação, prazo de validade, composição e procedência. Prazo de validade: No mínimo 75% da validade total registrada na embalagem do produto no momento da entrega. Embalagem: Caixa com no mínimo 20 testes.;Teste;1200;CIA SUPRIMENTOS (703699);34.384.756/0001-01;1200;3,9800000; R$4.776,00 ;31/01/2020;35;10/02/2020;11/02/2020;18/02/2020;3274;05/03/2020;2;;;;;;TINTA ESMALTE SINTÉTICO
018/2020;NUAL;04/03/2020;00060-00083733/2020-18;Clayton;092/2020;4;35479;2;X;X;CAIXA ORGANIZADORA,Material: poliestireno de alta densidade e/ou polipropileno, Tamanho/Capacidade: 70 LITROS, Características Adicionais: reforçada, com tampa, empilhável, Altura: mínimo 35 cm, Largura: mínimo 35,5 cm, Comprimento: mínimo 71 cm, Cor: branca ou transparente.;UN;30;CIA SUPRIMENTOS (703699);34.384.756/0001-01;30;89,9000000; R$2.697,00 ;17/03/2020;49;14/04/2020;27/04/2020;28/04/2020;3284;01/06/2020;3;;;;;;"FENOL ACS;"
070/2020;NFH;20/03/2020;00060-00113247/2020-23;Robson;105/2020;1;32429;1;X;X;ALCOOL GEL 70% FRASCO COM TAMPA ACOPLADA 85 a 100G. Aplicação: higienização das mãos. Características adicionais: com emolientes em sua formulação para evitar o ressecamento da pele. Não possuir composto de fósforo ou fosfato. Não deixar resíduos na pele ou fragrância persistentes após o uso. Possuir tampa de fácil abertura, acoplada ao frasco, com fechamento que não permita vazamento do produto durante todo o consumo.;FR;1000;CIA SUPRIMENTOS (703699);34.384.756/0001-01;1000;5,7000000; R$5.700,00 ;26/03/2020;51;16/04/2020;16/04/2020;20/04/2020;3283;29/04/2020;2;;;;;;0
068/2020;NUAL;06/05/2020;00060-00186488/2020-91;Robson;211/2020;1;619;2;X;X;PAPEL CÓPIA XEROGRÁFICA,  Material: sulfite, Gramatura: 75g/m2, Comprimento: 297 mm, Largura: 210 mm, Cor: branca, Unidade De Fornecimento: pacote com 500 folhas, Formato A4. Fornecimento: Resma pacote com 500 folhas, Formato: A-4.;UN;450;CIA SUPRIMENTOS (703699);34.384.756/0001-01;450;16,2900000; R$7.330,50 ;12/05/2020;68;21/05/2020;25/05/2020;27/05/2020;3289;25/06/2020;3;;;;;;
