Entradas; 2.786.847,51 ;Empenhado;R$ 2.786.847,50;;Saldo;;R$ 0,00;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;Nº de processo SEI;Responsável;Cotação;Item;CÓDIGO;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;Qtd. S;Empresa;Qtd. A; V. unitário ;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
002/2020;NUAL;22/01/2020;00060-00025664/2020-10;;.;1;35479;6;X;X;CAIXA ORGANIZADORA,Material: poliestireno de alta densidade e/ou polipropileno, Tamanho/Capacidade: 70 LITROS, Características Adicionais: reforçada, com tampa, empilhável, Altura: mínimo 35 cm, Largura: mínimo 35,5 cm, Comprimento: mínimo 71 cm, Cor: branca ou transparente.;UN;5;*CANCELADO;;; R$-   ;12/03/2020;;;;;;;2;Elaborado novo projeto 00060-00083733/2020-18;;;;;CAIXA ORGANIZADORA 70L
002/2020;NUAL;22/01/2020;00060-00025664/2020-10;;.;2;27707;2;X;X;"CAIXA PLÁSTICA organizadora contêiner de 30 Litros; Finalidade: guarda de material para atender às normas da DIVISA; Material: Plástico transparente; Tamanho: 30 litros com variação de até 10%; Características: Caixa plástica com tampa; Forma de apresentação:";UN;5;*CANCELADO;;; R$-   ;12/03/2020;;;;;;;2;Elaborado novo projeto 00060-00083733/2020-18;;;;;CAIXA PLÁSTICA organizadora contêiner de 30 Litros
118/2020;NUAL;18/06/2020;00060-00255899/2020-34;;.;1;27391;1;X;X;FAIXA - faixa, material látex de borracha natural, largura 15, comprimento 5,5, tipo elástica, modelo média, cor com cor. Código BR: 326108.;UN;100;*CANCELADO;;; R$-   ;18/06/2020;;;;;;;3;pediram para cancelar;;;;;FAIXA - faixa
172/2019;NFH;20/08/2019;00060-00344750/2019-95;Robson;.281/2019;1;95571;1;X;X;SULFATO DE ALUMINIO E AMONIO P.A. FRASCO DE 500 G;FR;3;ATD (700657);3; R$ 20,0000 ; R$60,00 ;10/10/2019;3656;27/12/2019;27/12/2019;30/12/2019;3267;24/01/2020;A/A;;;;;;SULFATO DE ALUMINIO E AMONIO P
172/2019;NFH;20/08/2019;00060-00344750/2019-95;Robson;.281/2019;4;34014;1;X;X;EOSINA AMARELA - Corante citopatológico e histopatológico para colorações de rotina (Papanicolau e H/E). Corante tipo eosina amarela, em pó, CI 45380.;FR;51;ATD (700657);51; R$ 23,0000 ; R$1.173,00 ;10/10/2019;3656;27/12/2019;27/12/2019;30/12/2019;3267;24/01/2020;A/A;;;;;;EOSINA AMARELA - Corante citopatológico e histopatológico para colorações de rotina (Papanicolau e H/E)
172/2019;NFH;20/08/2019;00060-00344750/2019-95;Robson;.281/2019;5;95351;2;X;X;FUCSINA BASICA, CI 42500, 25G;FR;1;ATD (700657);1; R$ 20,0000 ; R$20,00 ;10/10/2019;3656;27/12/2019;27/12/2019;30/12/2019;3267;24/01/2020;A/A;;;;;;FUCSINA
031/2019;NECFM;04/09/2019;00060-00363736/2019-91;Oberdan;.301/2019;1;OPU03;1;;;Conserto Oximetro Pat.: 1235382;Serviço;1;BIOLOG (396);1; R$ 468,0000 ; R$468,00 ;25/10/2019;7947;26/12/2019;30/12/2019;30/12/2019;44848;24/01/2020;A/A;;;;;;0
031/2019;NECFM;04/09/2019;00060-00363736/2019-91;Oberdan;.301/2019;2;OPU04;1;;;Conserto Oximetro Pat.: 1235387 (Obs.: Ver patrimonio);Serviço;1;BIOLOG (396);1; R$ 468,0000 ; R$468,00 ;25/10/2019;7947;26/12/2019;30/12/2019;30/12/2019;44848;24/01/2020;A/A;;;;;;0
031/2019;NECFM;04/09/2019;00060-00363736/2019-91;Oberdan;.301/2019;3;OPU05;1;;;Conserto Oximetro Pat.: 1235384;Serviço;1;BIOLOG (396);1; R$ 468,0000 ; R$468,00 ;25/10/2019;7947;26/12/2019;30/12/2019;30/12/2019;44848;24/01/2020;A/A;;;;;;0
030/2019;NECFM;20/08/2019;00060-00346549/2019-42;Oberdan;.304/2019;1;DFE14;1;;;CONSERTO DE DETECTOR FETAL, Marca MEDPEJ, modelo DF-7000, Nº Patrimônio 1339243, Nº de série 144741.;Serviço;1;*CANCELADO;;; R$-   ;03/12/2019;;;;;;;A/A;R$ 410,00 10/01/2020 FORNECEDOR DESISTIU;;;;;0
