11;São Paulo;São Paulo/Região Metropolitana de São Paulo/Região Metropolitana de Sorocaba/Aglomeração Urbana de Jundiaí e Região Geográfica Imediata de Bragança Paulista
12;São Paulo;São José dos Campos, Taubaté/Região Geográfica Intermediária de São José dos Campos
13;São Paulo;Santos, São Vicente/Vale do Ribeira e Região Metropolitana da Baixada Santista
14;São Paulo;Bauru, Botucatu, Jaú, Marília/Região Geográfica Intermediária de Bauru e Região Geográfica Intermediária de Marília
15;São Paulo;Itapetininga, Itapeva, Sorocaba/Região Geográfica Imediata de Itapetininga e Região Geográfica Imediata de Itapeva
16;São Paulo;Araraquara, Franca, Ribeirão Preto, São Carlos/Região Metropolitana de Ribeirão Preto/Aglomeração Urbana de Franca e Região Administrativa Central
17;São Paulo;Catanduva, Barretos, São José do Rio Preto, Votuporanga/Região Metropolitana de São José do Rio Preto
18;São Paulo;Presidente Prudente/Araçatuba/Birigui/Assis
19;São Paulo;Americana/Campinas/Limeira/Piracicaba
21;Rio de Janeiro;Rio de Janeiro e Região Metropolitana/Teresópolis
22;Rio de Janeiro;Cabo Frio/Campos dos Goytacazes/Macaé/Nova Friburgo
24;Rio de Janeiro;Angra dos Reis/Petrópolis/Volta Redonda
27;Espírito Santo;Vitória e Região Metropolitana/Colatina/Domingos Martins/Linhares
28;Espírito Santo;Cachoeiro de Itapemirim/Castelo/Marataízes
31;Minas Gerais;Belo Horizonte e Região Metropolitana/Ipatinga
32;Minas Gerais;Juiz de Fora/São João del-Rei/Barbacena
33;Minas Gerais;Governador Valadares/Teófilo Otoni/Caratinga/Manhuaçu
34;Minas Gerais;Araguari/Uberlândia/Uberaba
35;Minas Gerais;Poços de Caldas/Pouso Alegre/Varginha
37;Minas Gerais;Divinópolis/Itaúna
38;Minas Gerais;Diamantina/Montes Claros/Unaí
41;Paraná;Curitiba e Região Metropolitana
42;Paraná;Ponta Grossa/Guarapuava
43;Paraná;Apucarana/Londrina
44;Paraná;Maringá/Campo Mourão/Umuarama
45;Paraná;Cascavel/Foz do Iguaçu
46;Paraná;Francisco Beltrão/Pato Branco
47;Santa Catarina;Balneário Camboriú/Blumenau/Itajaí/Joinville
48;Santa Catarina;Florianópolis e Região Metropolitana/Criciúma
49;Santa Catarina;Caçador/Chapecó/Lages
51;Rio Grande do Sul;Porto Alegre e Região Metropolitana/Santa Cruz do Sul/Litoral Norte
53;Rio Grande do Sul;Pelotas/Rio Grande
54;Rio Grande do Sul;Caxias do Sul/Passo Fundo
55;Rio Grande do Sul;Santa Maria/Santana do Livramento/Santo Ângelo/Uruguaiana
61;Distrito Federal;Abrangência em todo o Distrito Federal e municípios da Região Integrada de Desenvolvimento do Distrito Federal e Entorno
62;Goiás;Goiânia e Região Metropolitana/Anápolis/Niquelândia/Porangatu
63;Tocantins;Abrangência em todo o estado
64;Goiás;Caldas Novas/Catalão/Itumbiara/Rio Verde
65;Mato Grosso;Cuiabá e Região Metropolitana
66;Mato Grosso;Rondonópolis/Sinop
67;Mato Grosso do Sul;Abrangência em todo o estado
68;Acre;Abrangência em todo o estado
69;Rondônia;Abrangência em todo o estado
71;Bahia;Salvador e Região Metropolitana
73;Bahia;Ilhéus/Itabuna
74;Bahia;Juazeiro/Irecê
75;Bahia;Feira de Santana/Alagoinhas
77;Bahia;Vitória da Conquista/Barreiras
79;Sergipe;Abrangência em todo o estado
81;Pernambuco;Recife e Região Metropolitana/Caruaru
82;Alagoas;Abrangência em todo o estado
83;Paraíba;Abrangência em todo o estado
84;Rio Grande do Norte;Abrangência em todo o estado
85;Ceará;Fortaleza e Região Metropolitana
86;Piauí;Teresina e Região Metropolitana/Parnaíba
87;Pernambuco;Garanhuns/Petrolina/Salgueiro/Serra Talhada
88;Ceará;Juazeiro do Norte/Sobral
89;Piauí;Picos/Floriano
91;Pará;Belém e Região Metropolitana
92;Amazonas;Manaus e Região Metropolitana/Parintins
93;Pará;Santarém/Altamira
94;Pará;Marabá
95;Roraima;Abrangência em todo o estado
96;Amapá;Abrangência em todo o estado
97;Amazonas;Abrangência no interior do estado
98;Maranhão;São Luís e Região Metropolitana
99;Maranhão;
