Código;DESCRIÇÃO;Saldo ideal;Und.;Origem;1º bimestre;2º bimestre;3º bimestre;4º bimestre;5º bimestre;6º bimestre;TOTAL;desc red;;;;;;;;;;;;;;;;;;;
8;FERRO CHATO, Largura: 5/8 pol, Material: ferro chato, unidade de fornecimento: barra 6 metros.;R$ 50.000,00;AMP;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;FERRO CHATO;;;;;;;;;;;;;;;;;;;
14;BRACADEIRA REGULAVEL DE 1/2´´;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BRACADEIRA REGULAVEL DE 1/2´´;;;;;;;;;;;;;;;;;;;
21;CABO DE PACIENTE P/ELETROCARDIOGRAFO ECG 4 PACIENTE;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CABO DE PACIENTE P/ELETROCARDIOGRAFO ECG 4 PACIENTE;;;;;;;;;;;;;;;;;;;
59;"BUCHA FIXAÇÃO; Material: Nylon; Tamanho: S- 6; Dimenções: 4,20 x 40 mm; Características adicionais: Acompanhada de parafuso em aço zincado, auto-atarrachante, cabeça chata com fenda.";R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BUCHA FIXAÇÃO;;;;;;;;;;;;;;;;;;;
60;"BUCHA Fixação; material: Nylon; Tamanho: S-8";R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BUCHA Fixação;;;;;;;;;;;;;;;;;;;
74;CARRAPETA EM BORRACHA PARA TORNEIRA ½”.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CARRAPETA EM BORRACHA PARA TORNEIRA ½”;;;;;;;;;;;;;;;;;;;
77;COLA PARA MADEIRA,Cor: branca, Unidade De Fornecimento: frasco de 1 kg;R$ 50.000,00;LT;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;COLA PARA MADEIRA;;;;;;;;;;;;;;;;;;;
82;PINCEL ATÔMICO,Material Corpo: plástico, Tipo Escrita: fina, Tamanho: 10 cm, Cor: vermelha, Tipo Ponta: redonda;R$ 50.000,00;FR;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PINCEL ATÔMICO;;;;;;;;;;;;;;;;;;;
93;PINCEL ATOMICO, Material Corpo: plástico, Tipo Escrita: grossa, Tamanho: 10 cm, Cor: preta, Tipo Ponta: redonda.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PINCEL ATOMICO;;;;;;;;;;;;;;;;;;;
164;TAMPA VASO SANITÁRIO, Material: plástico resistente, Modelo: tradicional, Cor: branca ;R$ 50.000,00;PE;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;TAMPA VASO SANITÁRIO;;;;;;;;;;;;;;;;;;;
